Element_Code,Element_Type,Material_1,Material_2,Material_3,Length,Width,Height,Thickness_1,Thickness_2,Thickness_3,Surface,Volume,Slope,Azimuth,Mesh_1,Mesh_2,Mesh_3
W1,Solid Wall w/In,Concrete,Insulation,N,N,14.5,5,0.3,0.1,N,48,1125,90,0,1,1,1
W2,Solid Wall w/In,Concrete,Insulation,N,7,N,5,0.3,0.1,N,99,,90,90,1,1,1
W3,Solid Wall w/In,Concrete,Insulation,N,N,14.5,5,0.3,0.1,N,99,,90,-90,1,1,1
W4,Solid Wall w/In,Concrete,Insulation,N,7,N,5,0.3,0.1,N,52.5,,90,180,1,1,1
G1,DG,Glass,N,N,5,N,5,0.1,N,N,27,,90,0,1,1,1
G1,DG,Glass,N,N,5,N,5,0.1,N,N,13.5,,90,90,1,1,1
G1,DG,Glass,N,N,5,N,5,0.1,N,N,13.5,,90,-90,1,1,1
G1,DG,Glass,N,N,5,N,5,0.1,N,N,22.5,,90,180,1,1,1
R1,Flat Roof w/In,Concrete,Insulation,N,14.5,3.5,2,0.2,0.3,N,150,,0,0,1,1,1
F1,Suspended Floor,Soil,Concrete,Insulation,7,14.5,5,10,0.4,0.05,150,,0,0,1,1,1
